ResourceID,Activity Method Type,Spatial Accuracy Qualifier,Compiler Name,Geometry Source,Spatial Metadata Description,Locality,Map Reference Name,Role,Activity Phase Description text,External Cross Reference Source,Activity Phase Description Type,External Cross Reference Notes,Road or Street Name,Town or City,To Date,Date Type,Area Type,Geometry,External Cross Reference Number,Number in Road or Street,Location Description Type,Map Reference Type,Postal Code,Activity Description Language,Activity Name,Activity Type,From Date,Location Description text,Location Description Language,Date of Compilation,Activity Description text,Area Name,File,Activity Description Type,Activity Phase Language,Activity Name Type,Resource ID
07ce963f-9f8b-4c23-842e-68af7d08bedc,,,John Herridge,,,,,,,Lincoln Heritage Database,,,,,,,,GEOMETRYCOLLECTION (POINT (-0.533973724010032 53.2313793398141)),9674,,,,,,Watching Brief at Cathedral Street,WATCHING BRIEF,,,,,Archaeological monitoring and recording (watching brief) during the excavation of pits to locate suitable pile positions. Pit sixteen of 28. Pit 20,,,Summary,,Primary,
07ce963f-9f8b-4c23-842e-68af7d08bedc,,,,,,,,,,Lincoln City and County Museum,,,,,,,,,2003.288,,,,,,,,,,,,,,,,,,
07ce963f-9f8b-4c23-842e-68af7d08bedc,,,,,,,,,,,,,,,,,,,,,,,,,Cathedral Street,,,,,,,,,,,Site Name,
07f037c3-a55a-44d0-8676-218d4ddbad0e,,,John Herridge,,,,,,,Lincoln Heritage Database,,,,,,,,"GEOMETRYCOLLECTION (POLYGON ((-0.537494 53.243287, -0.537475 53.243012, -0.537312 53.243016, -0.537326 53.243201, -0.537392 53.2432, -0.537401 53.24329, -0.537494 53.243287)))",4374,,,,,,Excavation at Newport,EXCAVATION,,,,,Archaeological excavation site in advance of groundworks for the construction of library extension.,,,Summary,,Primary,
07f037c3-a55a-44d0-8676-218d4ddbad0e,,,,,,,,,,Lincoln City and County Museum,,,,,,,,,84.95,,,,,,,,,,,,,,,,,,
07f037c3-a55a-44d0-8676-218d4ddbad0e,,,,,,,,,,,,,,,,,,,,,,,,,"Bishop Grosseteste College, Library extension",,,,,,,,,,,Site Name,
082950ea-703d-4f3d-b697-22f4c124f7c0,,,Michael Dore,,,,,,,Lincoln Heritage Database,,,,,,,,GEOMETRYCOLLECTION (POINT (-0.539425060157955 53.2371636683953)),113,,,,,,Excavation at Chapel Lane,EXCAVATION,,,,,Excavation site,,,Summary,,Primary,
082950ea-703d-4f3d-b697-22f4c124f7c0,,,,,,,,,,,,,,,,,,,,,,,,,Chapel Lane 1969,,,,,,,,,,,Site Name,
086b72b0-1133-453d-a403-96aaccf99f33,,,Michael Dore,,,,,,,Lincoln Heritage Database,,,,,,,,GEOMETRYCOLLECTION (POINT (-0.502454003686339 53.2450473509553)),1062,,,,,,Watching Brief at Bunkers Hill/Wragby Road,WATCHING BRIEF,,,,,Area 1 of four. Area 1,,,Summary,,Primary,
086b72b0-1133-453d-a403-96aaccf99f33,,,,,,,,,,Lincoln City and County Museum,,,,,,,,,19.94,,,,,,,,,,,,,,,,,,
086b72b0-1133-453d-a403-96aaccf99f33,,,,,,,,,,,,,,,,,,,,,,,,,Kennington House Bunkers Hill,,,,,,,,,,,Site Name,
087928ac-5f14-47b8-9c79-44aac3dd1eb0,,,John Herridge,,,,,,,Lincoln Heritage Database,,,,,,,,GEOMETRYCOLLECTION (POINT (-0.534461665774205 53.2346395901212)),7585,,,,,,Building Survey at 4 5 5a Minster Yard,BUILDING SURVEY,,,,,"The history of the plot was examined, and buildings surveyed,  as part of The Survey of Ancient Houses in Lincoln.  Survey no. S5, S6, S7",,,Summary,,Primary,
087928ac-5f14-47b8-9c79-44aac3dd1eb0,,,,,,,,,,,,,,,,,,,,,,,,,4 and 5 including 5a Minster Yard,,,,,,,,,,,Site Name,
087ffb3f-2726-4e1a-8178-71510c2f2801,,,John Herridge,,,,,,,Lincoln Heritage Database,,,,,,,,GEOMETRYCOLLECTION (POINT (-0.546173553028318 53.2232852654311)),7707,,,,,,Watching Brief at Anchor Street,WATCHING BRIEF,,,,,Archaeological monitoring and recording (watching brief) during geotechnical survey at the Former Anchor Street Works Test Pit 3 of 11.,,,Summary,,Primary,
087ffb3f-2726-4e1a-8178-71510c2f2801,,,,,,,,,,Lincoln City and County Museum,,,,,,,,,2002.468,,,,,,,,,,,,,,,,,,
087ffb3f-2726-4e1a-8178-71510c2f2801,,,,,,,,,,,,,,,,,,,,,,,,,Former Anchor Street Works,,,,,,,,,,,Site Name,
088d5799-c323-4cef-8402-0a4834765e46,,,John Herridge,,,,,,,Lincoln Heritage Database,,,,,,,,GEOMETRYCOLLECTION (POINT (-0.543601091498144 53.2249349229021)),4126,,,,,,Photographic Survey at St Marks Retail Development,PHOTOGRAPHIC SURVEY,,,,,The building was recorded and photographed as part of 1998 Industrial Archaeology Survey project,,,Summary,,Primary,
088d5799-c323-4cef-8402-0a4834765e46,,,,,,,,,,,,,,,,,,,,,,,,,Lakeland Plastics,,,,,,,,,,,Site Name,
089ec144-35eb-4d49-a66b-1d3a7c335c4a,,,Alan Vince,,,,,,,Lincoln Heritage Database,,,,,,,,"GEOMETRYCOLLECTION (POLYGON ((-0.5400509999999999 53.23425, -0.540042 53.23428, -0.540109 53.234287, -0.540119 53.234257, -0.5400509999999999 53.23425)))",4233,,,,,,Watching Brief at Lincoln Castle,WATCHING BRIEF,,,,,A watching brief was carried out during the removal of the floor in the northern two quadrants of the observatory tower.,,,Summary,,Primary,
089ec144-35eb-4d49-a66b-1d3a7c335c4a,,,,,,,,,,,,,,,,,,,,,,,,,Lincoln Castle Observatory Tower - observations,,,,,,,,,,,Site Name,
08a13fab-46fc-4e2c-9ade-4a735eb0a0af,,,Michael Dore,,,,,,,Lincoln Heritage Database,,,,,,,,GEOMETRYCOLLECTION (POINT (-0.54015470710571 53.234655509658)),328,,,,,,Watching Brief at Lincoln Castle,WATCHING BRIEF,,,,,A series of pits was dug along the drive leading to the Courts. All revealed a loamy mixture with occasional 18/19th-century stoneware fragments except one near to the gate that showed a wall believed to be the one seen in on22 (RE296),,,Summary,,Primary,
08a13fab-46fc-4e2c-9ade-4a735eb0a0af,,,,,,,,,,,,,,,,,,,,,,,,,Lincoln Castle,,,,,,,,,,,Site Name,
08a5c688-04db-4f03-bda3-7f34b4eaf6e2,,,Michael Dore,,,,,,,Lincoln Heritage Database,,,,,,,,GEOMETRYCOLLECTION (POINT (-0.5306055539040641 53.2361113680607)),1687,,,,,,Watching Brief at Langworthgate,WATCHING BRIEF,,,,,"Evaluation consisting of three test pits (Test Pits 8, 9 & 10).  Test pit 10, 2m x 3m x c1.2m deep, extended by 1.8m x 1.4m x 0.5m deep. In advance of the construction of 25-33 Langworthgate.  Natural sandy limestone was cut by a semi-circular feature and above was levelling. Above was a red tiled floor and a limestone step, associated with one (35) of the cottages that had previously occupied the site, all sealed by modern levelling/destruction layer.",,,Summary,,Primary,
08a5c688-04db-4f03-bda3-7f34b4eaf6e2,,,,,,,,,,Lincoln City and County Museum,,,,,,,,,2006.72,,,,,,,,,,,,,,,,,,
08a5c688-04db-4f03-bda3-7f34b4eaf6e2,,,,,,,,,,,,,,,,,,,,,,,,,Langworthgate,,,,,,,,,,,Site Name,
08a694d0-5049-49ea-a1bd-f6b5f8631ac0,,,John Herridge,,,,,,,Lincoln Heritage Database,,,,,,,,"GEOMETRYCOLLECTION (POLYGON ((-0.540498 53.242816, -0.540513 53.24285, -0.540542 53.242846, -0.540527 53.242811, -0.540498 53.242816)))",9989,,,,,,Watching Brief at Woburn Avenue,WATCHING BRIEF,,,,,"Archaeological monitoring and recording (watching brief) during the excavation of eight geotechnical test pits for a residential development. Test Pit 8. A thin layer of topsoil overlay loose limestone rubble, interpreted as quarry fill.",,,Summary,,Primary,
08a694d0-5049-49ea-a1bd-f6b5f8631ac0,,,,,,,,,,Lincoln City and County Museum,,,,,,,,,2007.4,,,,,,,,,,,,,,,,,,
08a694d0-5049-49ea-a1bd-f6b5f8631ac0,,,,,,,,,,,,,,,,,,,,,,,,,Woburn Avenue,,,,,,,,,,,Site Name,
08acb966-cab0-4dba-83be-c4253c1ddd11,,,John Herridge,,,,,,,Lincoln City and County Museum,,,,,,,,GEOMETRYCOLLECTION (POINT (-0.539313610932185 53.2325146625378)),40.95,,,,,,Borehole Survey at Michaelgate,BOREHOLE SURVEY,,,,,"Borehole 4 of nine; B4  on upper terrace. The terrace was cut into the natural clay at c5m below modern ground surface, overlain by c3-3.5m of archaeological deposits, topped by c1.5 - 2m of non-archaeological overburden.",,,Summary,,Primary,
08acb966-cab0-4dba-83be-c4253c1ddd11,,,,,,,,,,Lincoln Heritage Database,,,,,,,,,4319,,,,,,,,,,,,,,,,,,
08acb966-cab0-4dba-83be-c4253c1ddd11,,,,,,,,,,,,,,,,,,,,,,,,,St Cuthberts Nursery School (former),,,,,,,,,,,Site Name,
08b2908c-bf0c-4e38-8b72-1bad9e1dd225,,,Michael Dore,,,,,,,Lincoln Heritage Database,,,,,,,,GEOMETRYCOLLECTION (POINT (-0.542325875980602 53.2183748701314)),1290,,,,,,Trial Trench at Knight Place,TRIAL TRENCH,,,,,"Archaeological Evaluation site, consisting of four trial trenches, Trial Trenches 1-4. Area 1 of four. Trial trench 1",,,Summary,,Primary,
08b2908c-bf0c-4e38-8b72-1bad9e1dd225,,,,,,,,,,Lincoln City and County Museum,,,,,,,,,2005.201,,,,,,,,,,,,,,,,,,
08b2908c-bf0c-4e38-8b72-1bad9e1dd225,,,,,,,,,,,,,,,,,,,,,,,,,Knight Place,,,,,,,,,,,Site Name,
08c18cbe-1593-4dd6-af21-394881d1c90b,,,John Herridge,,,,,,,Lincoln Heritage Database,,,,,,,,"GEOMETRYCOLLECTION (POLYGON ((-0.544252 53.239914, -0.544643 53.239841, -0.544519 53.239611, -0.544131 53.239686, -0.5441820000000001 53.239783, -0.544252 53.239914)))",4340,,,,,,Watching Brief at Wilson Street,WATCHING BRIEF,,,,,"Archaeological monitoring and recording (watching brief) during groundworks. No pre-19th century deposits were revealed. A limestone wall was found, probably part of the Salvation Army hall.",,,Summary,,Primary,
08c18cbe-1593-4dd6-af21-394881d1c90b,,,,,,,,,,,,,,,,,,,,,,,,,"Wilson Street, Garage Court, adjacent to 21 Wilson Street",,,,,,,,,,,Site Name,
08c9e2d7-4cb3-4237-b15c-c00d31625956,,,John Herridge,,,,,,,Lincoln Heritage Database,,,,,,,,GEOMETRYCOLLECTION (POINT (-0.595724342048314 53.1463167357746)),3298,,,,,,Borehole Survey at ,BOREHOLE SURVEY,,,,,MAU borehole,,,Summary,,Primary,
08c9e2d7-4cb3-4237-b15c-c00d31625956,,,,,,,,,,,,,,,,,,,,,,,,,(outside city),,,,,,,,,,,Site Name,
08d78764-31b2-4557-8227-a3ec3025f1da,,,John Herridge,,,,,,,Lincoln Heritage Database,,,,,,,,GEOMETRYCOLLECTION (POINT (-0.541534718041596 53.234609474911)),10891,,,,,,Borehole Survey at Lincoln Castle,BOREHOLE SURVEY,,,,,"A programme of archaeological evaluation was carried out in advance of the construction of a new Heritage Skills Centre. It consisted of four Evaluation trenches (interventions 4-7) and a traverse of seven bore holes (BH1-BH7). BH7 reached a hard obstacle, possibly limestone bedrock or a piece of stone at c57m AOD. Above was c4.5m of sandy clay, with above silty sand, sandy silt, clayey silt, mortar and tarmac. This was sunk within the likely location of the back-filled ditch of the Lucy Tower motte, but results were inconclusive.",,,Summary,,Primary,
08d78764-31b2-4557-8227-a3ec3025f1da,,,,,,,,,,Lincoln City and County Museum,,,,,,,,,2009.27,,,,,,,,,,,,,,,,,,
08d78764-31b2-4557-8227-a3ec3025f1da,,,,,,,,,,,,,,,,,,,,,,,,,Heritage Skills Centre,,,,,,,,,,,Site Name,
08dec551-a6f0-4b66-b3b3-060de4a83791,,,John Herridge,,,,,,,Lincoln Heritage Database,,,,,,,,GEOMETRYCOLLECTION (POINT (-0.5683477137638761 53.2366065842515)),10795,,,,,,Watching Brief at Carholme Road,WATCHING BRIEF,,,,,"Archaeological monitoring and recording (watching brief) during groundworks at the golf course, involving tree removal, surface stripping and drainage trenches, and the construction of new greens. No significant archaeological deposits were recorded. Generally, natural orange sand at 0.3m below the modern surface was overlain by a subsoil, and modern topsoil. Refuse material of 19th-century date was encountered at one location.",,,Summary,,Primary,
08dec551-a6f0-4b66-b3b3-060de4a83791,,,,,,,,,,Lincoln City and County Museum,,,,,,,,,2008.139,,,,,,,,,,,,,,,,,,
08dec551-a6f0-4b66-b3b3-060de4a83791,,,,,,,,,,,,,,,,,,,,,,,,,Carholme Golf Club,,,,,,,,,,,Site Name,
08dfd053-5ba7-4c6e-8f2d-6bc4223ea2ae,,,John Herridge,,,,,,,Lincoln Heritage Database,,,,,,,,GEOMETRYCOLLECTION (POINT (-0.539269530614749 53.235130106006)),9634,,,,,,Watching Brief at St Pauls Lane,WATCHING BRIEF,,,,,"Archaeological monitoring and recording (watching brief) during the erection of wayfaring and interpretation signs, within or close to Scheduled Ancient Monuments within the Cathedral Quarter.  Sign eight of fourteen. Sign 18, double post, car park, St Pauls Lane. Depth 0.35m. Tarmac sealed a layer of sand and brick rubble. No archaeological finds or features were recorded.",,,Summary,,Primary,
08dfd053-5ba7-4c6e-8f2d-6bc4223ea2ae,,,,,,,,,,Lincoln City and County Museum,,,,,,,,,2005.25,,,,,,,,,,,,,,,,,,
08dfd053-5ba7-4c6e-8f2d-6bc4223ea2ae,,,,,,,,,,,,,,,,,,,,,,,,,Cathedral Quarter,,,,,,,,,,,Site Name,
08e1564c-b8f5-4f66-a302-5696f030e774,,,Michael Dore,,,,,,,Lincoln Heritage Database,,,,,,,,"GEOMETRYCOLLECTION (POLYGON ((-0.544583 53.220386, -0.544582 53.220375, -0.544001 53.220245, -0.543892 53.220224, -0.543449 53.220168, -0.542036 53.219877, -0.542032 53.219884, -0.543442 53.220176, -0.543897 53.220235, -0.543999 53.220254, -0.544583 53.220386)))",923,,,,,,Watching Brief at Pennell Street,WATCHING BRIEF,,,,,"Archaeological monitoring and recording (watching brief) during water mains laying. Divided into twelve areas, Areas 1-12. Area 2 of twelve. Pennell Street trench",,,Summary,,Primary,
08e1564c-b8f5-4f66-a302-5696f030e774,,,,,,,,,,Lincoln City and County Museum,,,,,,,,,2005.173,,,,,,,,,,,,,,,,,,
08e1564c-b8f5-4f66-a302-5696f030e774,,,,,,,,,,,,,,,,,,,,,,,,,Sincil West (Anglian Water pipeline),,,,,,,,,,,Site Name,
08ec5820-96c6-4507-b753-990f813ec356,,,John Herridge,,,,,,,Lincoln Heritage Database,,,,,,,,GEOMETRYCOLLECTION (POINT (-0.530662916052868 53.240561945877)),7101,,,,,,Watching Brief at 35 Nettleham Road,WATCHING BRIEF,,,,,Archaeological monitoring and recording (watching brief) during groundwork associated with the construction of two extensions and the excavation of a soakaway. Area 3 of 3. Soakaway. No archaeological features or deposits were found predating the early 18th-19th centuries. No evidence for the Roman aqueduct.,,,Summary,,Primary,
08ec5820-96c6-4507-b753-990f813ec356,,,,,,,,,,Lincoln City and County Museum,,,,,,,,,2002.1,,,,,,,,,,,,,,,,,,
08ec5820-96c6-4507-b753-990f813ec356,,,,,,,,,,,,,,,,,,,,,,,,,35 Nettleham Road,,,,,,,,,,,Site Name,
08f031c7-7e22-4c53-a0bd-2117300105f6,,,Michael Dore,,,,,,,Lincoln Heritage Database,,,,,,,,"GEOMETRYCOLLECTION (POLYGON ((-0.5369350000000001 53.236693, -0.536946 53.236651, -0.536928 53.236649, -0.536917 53.23669, -0.5369350000000001 53.236693)))",1242,,,,,,Excavation at Bailgate/Cottesford Place/James Street,EXCAVATION,,,,,Area 23 of twenty eight. Trench E1,,,Summary,,Primary,
08f031c7-7e22-4c53-a0bd-2117300105f6,,,,,,,,,,,,,,,,,,,,,,,,,Cottesford Place 1956-58,,,,,,,,,,,Site Name,
08f3d83c-8fdd-4143-8dbe-5f00d6e26c6f,,,John Herridge,,,,,,,Lincoln Heritage Database,,,,,,,,"GEOMETRYCOLLECTION (POLYGON ((-0.5444059999999999 53.213717, -0.544417 53.213771, -0.544442 53.213768, -0.54443 53.213715, -0.5444059999999999 53.213717)))",4569,,,,,,Trial Trench at South Park,TRIAL TRENCH,,,,,Archaeological evaluation in advance of a proposed extension. Trial trench 2 of two. Trial trench 2.,,,Summary,,Primary,
08f3d83c-8fdd-4143-8dbe-5f00d6e26c6f,,,,,,,,,,Lincoln City and County Museum,,,,,,,,,227.97,,,,,,,,,,,,,,,,,,
08f3d83c-8fdd-4143-8dbe-5f00d6e26c6f,,,,,,,,,,,,,,,,,,,,,,,,,Bernadette House,,,,,,,,,,,Site Name,
08f8105e-b606-4bf1-89e4-b4b0d7e83c58,,,John Herridge,,,,,,,Lincoln Heritage Database,,,,,,,,GEOMETRYCOLLECTION (POINT (-0.536684481003725 53.2366805760909)),11245,,,,,,Watching Brief at 10 James Street,WATCHING BRIEF,,,,,"Scheme of Archaeological Mitigation during groundworks for the construction of a detached dwelling, involving the monitoring and recording of archaeological deposits within new ground-beam foundation trenches, two service trenches, ground levelling, a fish pond and a trial pit.    Ground levelling west of the new house",,,Summary,,Primary,
08f8105e-b606-4bf1-89e4-b4b0d7e83c58,,,,,,,,,,Lincoln City and County Museum,,,,,,,,,2011.457,,,,,,,,,,,,,,,,,,
08f8105e-b606-4bf1-89e4-b4b0d7e83c58,,,,,,,,,,,,,,,,,,,,,,,,,10 James Street,,,,,,,,,,,Site Name,
0905618e-b265-4940-91f0-c5eef62a74c4,,,John Herridge,,,,,,,Lincoln Heritage Database,,,,,,,,"GEOMETRYCOLLECTION (POLYGON ((-0.539063 53.241801, -0.539053 53.241733, -0.5389389999999999 53.241738, -0.538949 53.241807, -0.539063 53.241801)))",7097,,,,,,Watching Brief at 10 College Close,WATCHING BRIEF,,,,,Archaeological monitoring and recording (watching brief) during groundwork associated with the construction of a single-storey extension to 10 College Close.,,,Summary,,Primary,
0905618e-b265-4940-91f0-c5eef62a74c4,,,,,,,,,,Lincoln City and County Museum,,,,,,,,,2002.1,,,,,,,,,,,,,,,,,,
0905618e-b265-4940-91f0-c5eef62a74c4,,,,,,,,,,,,,,,,,,,,,,,,,10 College Close,,,,,,,,,,,Site Name,
0907bee9-0aff-4ac8-b314-833461e7d465,,,John Herridge,,,,,,,Lincoln Heritage Database,,,,,,,,GEOMETRYCOLLECTION (POINT (-0.535988338016449 53.2351258111954)),10296,,,,,,Building Survey at Eastgate,BUILDING SURVEY,,,,,Survey of the building as part of the Lincoln Cathedral and Close Conservation Plan,,,Summary,,Primary,
0907bee9-0aff-4ac8-b314-833461e7d465,,,,,,,,,,,,,,,,,,,,,,,,,30 Eastgate,,,,,,,,,,,Site Name,
09102420-8fb5-48c9-b406-965899947b8a,,,Michael Dore,,,,,,,Lincoln Heritage Database,,,,,,,,GEOMETRYCOLLECTION (POINT (-0.546780918046718 53.2265828800758)),999,,,,,,Geotechnical Test Pit at Brayford South/Holmes,GEOTECHNICAL TEST PIT,,,,,Pit 50 of sixty one. TP53,,,Summary,,Primary,
09102420-8fb5-48c9-b406-965899947b8a,,,,,,,,,,Lincoln City and County Museum,,,,,,,,,15.94,,,,,,,,,,,,,,,,,,
09102420-8fb5-48c9-b406-965899947b8a,,,,,,,,,,,,,,,,,,,,,,,,,University College of Lincolnshire,,,,,,,,,,,Site Name,
0946b8e3-0186-4556-a446-3f39d1cf96b3,,,John Herridge,,,,,,,Lincoln Heritage Database,,,,,,,,GEOMETRYCOLLECTION (POINT (-0.520216093291627 53.2297620038226)),9566,,,,,,Watching Brief at Monks Road,WATCHING BRIEF,,,,,"Archaeological monitoring and recording (watching brief) during groundworks for improvements to the ball court. Floodlight post holes. Four holes were excavated, 0.5m deep, at the corners of the ball park. No archaeological remains were disturbed, except for a possible undated stone foundation in the south west corner.",,,Summary,,Primary,
0946b8e3-0186-4556-a446-3f39d1cf96b3,,,,,,,,,,Lincoln City and County Museum,,,,,,,,,2005.249,,,,,,,,,,,,,,,,,,
0946b8e3-0186-4556-a446-3f39d1cf96b3,,,,,,,,,,,,,,,,,,,,,,,,,"Ball Court, Monks Abbey",,,,,,,,,,,Site Name,
094f1db9-c89f-404b-b3a3-bb2ddf44cbc0,,,Michael Dore,,,,,,,Lincoln Heritage Database,,,,,,,,GEOMETRYCOLLECTION (POINT (-0.541008891564379 53.2276001134104)),701,,,,,,Casual Observation at High Street,CASUAL OBSERVATION,,,,,Drury recorded the sections of the sewer trench throughout the town. At this point tidal sand was encountered at 4.33m below ground level. This layer was cut by wooden piles about 12 feet (3.66m.) apart. The tops of these piles were about 5 feet (1.52m.) below ground level,,,Summary,,Primary,
094f1db9-c89f-404b-b3a3-bb2ddf44cbc0,,,,,,,,,,,,,,,,,,,,,,,,,High Street,,,,,,,,,,,Site Name,
0967a15c-0085-4ae0-87cd-dc6be92bcf2e,,,John Herridge,,,,,,,Lincoln Heritage Database,,,,,,,,GEOMETRYCOLLECTION (POINT (-0.552536387886152 53.2273810726114)),10846,,,,,,Watching Brief at Ruston Way,WATCHING BRIEF,,,,,"Archaeological monitoring and recording (watching brief) during the excavation of ten geotechnical trial pits (TP101-TP110), five boreholes (BH1(G)-BH5(G), and two investigative trenches (TR1 & TR2). All were carried out in advance of a residential development. BH3(G). Natural sand was at 2.6m AOD, overlain by alluvium and modern made ground",,,Summary,,Primary,
0967a15c-0085-4ae0-87cd-dc6be92bcf2e,,,,,,,,,,Lincoln City and County Museum,,,,,,,,,2008.155,,,,,,,,,,,,,,,,,,
0967a15c-0085-4ae0-87cd-dc6be92bcf2e,,,,,,,,,,,,,,,,,,,,,,,,,"Residential development, Ruston Way",,,,,,,,,,,Site Name,
097d15fd-fab3-41f3-88e3-66e221eb801a,,,John Herridge,,,,,,,Lincoln Heritage Database,,,,,,,,GEOMETRYCOLLECTION (POINT (-0.584295229125638 53.2255600589706)),3305,,,,,,Borehole Survey at Skellingthorpe Road,BOREHOLE SURVEY,,,,,MAU borehole,,,Summary,,Primary,
097d15fd-fab3-41f3-88e3-66e221eb801a,,,,,,,,,,,,,,,,,,,,,,,,,Stones Place,,,,,,,,,,,Site Name,
0991917c-038f-43e4-806f-5eab420d1a8a,,,Michael Dore,,,,,,,Lincoln Heritage Database,,,,,,,,GEOMETRYCOLLECTION (POINT (-0.536240053107035 53.2334568298804)),1154,,,,,,Excavation at Minster Yard,EXCAVATION,,,,,Area 3 of four. Trench 3,,,Summary,,Primary,
0991917c-038f-43e4-806f-5eab420d1a8a,,,,,,,,,,,,,,,,,,,,,,,,,Old Bishops Palace,,,,,,,,,,,Site Name,
099cbd91-6184-44d8-898c-bcb13bdbed81,,,John Herridge,,,,,,,Lincoln Heritage Database,,,,,,,,GEOMETRYCOLLECTION (POINT (-0.541679203886254 53.2224212917187)),11099,,,,,,Casual Observation at Monson Street,CASUAL OBSERVATION,,,,,"Two urns containing ashes, a flagon and four glass phials were found, together with foundations of some building and an area of charcoal and soot. Location unknown, but it could be on the north or south side of the street",,,Summary,,Primary,
099cbd91-6184-44d8-898c-bcb13bdbed81,,,,,,,,,,,,,,,,,,,,,,,,,Monson Street,,,,,,,,,,,Site Name,
09de0d2e-4f4a-4f9b-872d-9a7377f65b38,,,John Herridge,,,,,,,Lincoln City and County Museum,,,,,,,,GEOMETRYCOLLECTION (POINT (-0.540710930808237 53.2275515176432)),25.99,,,,,,Excavation at Cornhill,EXCAVATION,,,,,Archaeological Recording and Excavation during groundwork for extensions to the Information Centre. Six trenches were excavated Trenches 1-6.,,,Summary,,Primary,
09de0d2e-4f4a-4f9b-872d-9a7377f65b38,,,,,,,,,,Lincoln Heritage Database,,,,,,,,,4694,,,,,,,,,,,,,,,,,,
09de0d2e-4f4a-4f9b-872d-9a7377f65b38,,,,,,,,,,,,,,,,,,,,,,,,,"Tourist Information Centre, Cornhill",,,,,,,,,,,Site Name,
09f2b784-e7cf-48df-871b-26f421d93fe3,,,Michael Dore,,,,,,,Lincoln Heritage Database,,,,,,,,GEOMETRYCOLLECTION (POINT (-0.571468018624861 53.220291924302)),883,,,,,,Excavation at Swanpool/Catchwater Drain,EXCAVATION,,,,,Area 14 of fifteen. Trench 14,,,Summary,,Primary,
09f2b784-e7cf-48df-871b-26f421d93fe3,,,,,,,,,,Lincoln City and County Museum,,,,,,,,,2000.54,,,,,,,,,,,,,,,,,,
09f2b784-e7cf-48df-871b-26f421d93fe3,,,,,,,,,,,,,,,,,,,,,,,,,Swanpool Kiln 1987,,,,,,,,,,,Site Name,
09f35760-37a9-4d80-a5b2-2750e84021b9,,,John Herridge,,,,,,,Lincoln Heritage Database,,,,,,,,GEOMETRYCOLLECTION (POINT (-0.543235746879874 53.222458305957)),4556,,,,,,Watching Brief at Monson Street,WATCHING BRIEF,,,,,Archaeological monitoring and recording (watching brief) during the conversion of the property to residential student accommodation. Area 1 of three; within former shop building on street frontage. Groundworks to a maximum depth of 0.75m revealed no deposits dating to before the late post-medieval period. A north-south stone wall probably represented the 19th-century predecessor to the present brick building.,,,Summary,,Primary,
09f35760-37a9-4d80-a5b2-2750e84021b9,,,,,,,,,,Lincoln City and County Museum,,,,,,,,,189.98,,,,,,,,,,,,,,,,,,
09f35760-37a9-4d80-a5b2-2750e84021b9,,,,,,,,,,,,,,,,,,,,,,,,,64 Monson Street,,,,,,,,,,,Site Name,
09fc9e77-93a4-483f-8bb8-daf75792d681,,,Michael Dore,,,,,,,Lincoln Heritage Database,,,,,,,,GEOMETRYCOLLECTION (POINT (-0.5443847150275199 53.235839931398)),426,,,,,,Watching Brief at The Lawn /Union Road,WATCHING BRIEF,,,,,Trench 11 of eleven. Shallow loam over natural. Occasional fragments of flowerpot. No evidence of burials,,,Summary,,Primary,
09fc9e77-93a4-483f-8bb8-daf75792d681,,,,,,,,,,,,,,,,,,,,,,,,,Lawn Tropical House (trench XVII),,,,,,,,,,,Site Name,
0a03ede2-d79c-4975-96fc-7f529f3233ab,,,John Herridge,,,,,,,Lincoln Heritage Database,,,,,,,,GEOMETRYCOLLECTION (POINT (-0.547448395804764 53.2126121174648)),10247,,,,,,Trial Trench at 37 St Catherines,TRIAL TRENCH,,,,,"Archaeological Evaluation in advance of alterations and extensions to the building to create a residential development. Three trenches, Trenches 1-3. Trench 2, 5.4m x 1.6m. Topsoil 0.38m deep overlay demolition material, a former ground surface and inhumations. This overlay a sand layer with flints and a shallow depression.",,,Summary,,Primary,
0a03ede2-d79c-4975-96fc-7f529f3233ab,,,,,,,,,,Lincoln City and County Museum,,,,,,,,,2007.25,,,,,,,,,,,,,,,,,,
0a03ede2-d79c-4975-96fc-7f529f3233ab,,,,,,,,,,,,,,,,,,,,,,,,,Upper Witham Drainage Board Building,,,,,,,,,,,Site Name,
0a110d2e-e523-48bb-9244-10493df92891,,,Michael Dore,,,,,,,Lincoln Heritage Database,,,,,,,,GEOMETRYCOLLECTION (POINT (-0.543008964984584 53.23620068837)),365,,,,,,Watching Brief at Castle Lane,WATCHING BRIEF,,,,,Services dug across the lane cut through only road make-up with no visible stratigraphy.,,,Summary,,Primary,
0a110d2e-e523-48bb-9244-10493df92891,,,,,,,,,,,,,,,,,,,,,,,,,Castle Lane,,,,,,,,,,,Site Name,
0a392970-2ce9-4d04-8692-c2bad5cde524,,,John Herridge,,,,,,,Lincoln Heritage Database,,,,,,,,GEOMETRYCOLLECTION (POINT (-0.549293158902586 53.2191790519983)),7746,,,,,,Watching Brief at 88-94 Dixon Street/Upper Witham,WATCHING BRIEF,,,,,Archaeological monitoring and recording (watching brief) and environmental sampling in advance of the construction of 7 dwellings. Pit 1 of 6. Pit 1.,,,Summary,,Primary,
0a392970-2ce9-4d04-8692-c2bad5cde524,,,,,,,,,,Lincoln City and County Museum,,,,,,,,,2003.115,,,,,,,,,,,,,,,,,,
